"GRID_1","GRID_5","PS_AREA_CODE","PS_AREA","PS_AREA_NUMBER"
"5100042","6100040","IRS01ST","9100040",0
"5100043","6100040","IRS01ST","9100040",0
"5100044","6100040","IRS01ST","9100040",0
"5100045","6100045","IRS01ST","9100040",0
"5100046","6100045","IRS01ST","9100040",0
"5100047","6100045","IRS01ST","9100040",0
"5100048","6100045","IRS01ST","9100040",0
"5100049","6100045","IRS01ST","9100040",0
"5100050","6100050","IRS01ST","9100040",0
"5100051","6100050","IRS01ST","9100040",0
"5100052","6100050","IRS01ST","9100040",0
"5100053","6100050","IRS01ST","9100040",0
"5100054","6100050","IRS01ST","9100040",0
"5100055","6100055","IRS01ST","9100040",0
"5100056","6100055","IRS01ST","9100040",0
"5100057","6100055","IRS01ST","9100040",0
"5100058","6100055","IRS01ST","9100040",0
"5100059","6100055","IRS01ST","9100040",0
"5100060","6100060","IRS01ST","9100040",0
"5100061","6100060","IRS01ST","9100040",0
"5100062","6100060","IRS01ST","9100040",0
"5100063","6100060","IRS01ST","9100040",0
"5100064","6100060","IRS01ST","9100040",0
"5100065","6100065","IRS01ST","9100040",0
"5100066","6100065","IRS01ST","9100040",0
"5100067","6100065","IRS01ST","9100040",0
"5100068","6100065","IRS01ST","9100040",0
"5100069","6100065","IRS01ST","9100040",0
"5100070","6100070","IRS05ST","9200080",5
"5100071","6100070","IRS05ST","9200080",5
"5100072","6100070","IRS05ST","9200080",5
"5100073","6100070","IRS05ST","9200080",5
"5100074","6100070","IRS05ST","9200080",5
"5100075","6100075","IRS05ST","9200080",5
"5100076","6100075","IRS05ST","9200080",5
"5100077","6100075","IRS05ST","9200080",5
"5100078","6100075","IRS05ST","9200080",5
"5100079","6100075","IRS05ST","9200080",5
"5100080","6100080","IRS10ST","9200100",6
"5100081","6100080","IRS10ST","9200100",6
"5100082","6100080","IRS10ST","9200100",6
"5100083","6100080","IRS10ST","9200100",6
"5100084","6100080","IRS10ST","9200100",6
"5100085","6100085","IRS10ST","9200100",6
"5100086","6100085","IRS10ST","9200100",6
"5100087","6100085","IRS10ST","9200100",6
"5100088","6100085","IRS10ST","9200100",6
"5100089","6100085","IRS10ST","9200100",6
"5100090","6100090","IRS10ST","9200100",6
"5100091","6100090","IRS10ST","9200100",6
"5100092","6100090","IRS10ST","9200100",6
"5100093","6100090","IRS10ST","9200100",6
"5100094","6100090","IRS10ST","9200100",6
"5100095","6100095","IRS10ST","9200100",6
"5100096","6100095","IRS10ST","9200100",6
"5100097","6100095","IRS10ST","9200100",6
"5100098","6100095","IRS10ST","9200100",6
"5100099","6100095","IRS10ST","9200100",6
"5101043","6100040","IRS01ST","9100040",0
"5101044","6100040","IRS01ST","9100040",0
"5101045","6100045","IRS01ST","9100040",0
"5101046","6100045","IRS01ST","9100040",0
"5101047","6100045","IRS01ST","9100040",0
"5101048","6100045","IRS01ST","9100040",0
"5101049","6100045","IRS01ST","9100040",0
"5101050","6100050","IRS01ST","9100040",0
"5101051","6100050","IRS01ST","9100040",0
"5101052","6100050","IRS01ST","9100040",0
"5101053","6100050","IRS01ST","9100040",0
"5101054","6100050","IRS01ST","9100040",0
"5101055","6100055","IRS01ST","9100040",0
"5101056","6100055","IRS01ST","9100040",0
"5101057","6100055","IRS01ST","9100040",0
"5101058","6100055","IRS01ST","9100040",0
"5101059","6100055","IRS01ST","9100040",0
"5101060","6100060","IRS01ST","9100040",0
"5101061","6100060","IRS01ST","9100040",0
"5101062","6100060","IRS01ST","9100040",0
"5101063","6100060","IRS01ST","9100040",0
"5101064","6100060","IRS01ST","9100040",0
"5101065","6100065","IRS01ST","9100040",0
"5101066","6100065","IRS01ST","9100040",0
"5101067","6100065","IRS01ST","9100040",0
"5101068","6100065","IRS01ST","9100040",0
"5101069","6100065","IRS01ST","9100040",0
"5101070","6100070","IRS05ST","9200080",5
"5101071","6100070","IRS05ST","9200080",5
"5101072","6100070","IRS05ST","9200080",5
"5101073","6100070","IRS05ST","9200080",5
"5101074","6100070","IRS05ST","9200080",5
"5101075","6100075","IRS05ST","9200080",5
"5101076","6100075","IRS05ST","9200080",5
"5101077","6100075","IRS05ST","9200080",5
"5101078","6100075","IRS05ST","9200080",5
"5101079","6100075","IRS05ST","9200080",5
"5101080","6100080","IRS10ST","9200100",6
"5101081","6100080","IRS10ST","9200100",6
"5101082","6100080","IRS10ST","9200100",6
"5101083","6100080","IRS10ST","9200100",6
"5101084","6100080","IRS10ST","9200100",6
"5101085","6100085","IRS10ST","9200100",6
"5101086","6100085","IRS10ST","9200100",6
"5101087","6100085","IRS10ST","9200100",6
"5101088","6100085","IRS10ST","9200100",6
"5101089","6100085","IRS10ST","9200100",6
"5101090","6100090","IRS10ST","9200100",6
"5101091","6100090","IRS10ST","9200100",6
"5101092","6100090","IRS10ST","9200100",6
"5101093","6100090","IRS10ST","9200100",6
"5101094","6100090","IRS10ST","9200100",6
"5101095","6100095","IRS10ST","9200100",6
"5101096","6100095","IRS10ST","9200100",6
"5101097","6100095","IRS10ST","9200100",6
"5101098","6100095","IRS10ST","9200100",6
"5102045","6100045","IRS01ST","9100040",0
"5102046","6100045","IRS01ST","9100040",0
"5102047","6100045","IRS01ST","9100040",0
"5102048","6100045","IRS01ST","9100040",0
"5102049","6100045","IRS01ST","9100040",0
"5102050","6100050","IRS01ST","9100040",0
"5102051","6100050","IRS01ST","9100040",0
"5102052","6100050","IRS01ST","9100040",0
"5102053","6100050","IRS01ST","9100040",0
"5102054","6100050","IRS01ST","9100040",0
"5102055","6100055","IRS01ST","9100040",0
"5102056","6100055","IRS01ST","9100040",0
"5102057","6100055","IRS01ST","9100040",0
"5102058","6100055","IRS01ST","9100040",0
"5102059","6100055","IRS01ST","9100040",0
"5102060","6100060","IRS01ST","9100040",0
"5102061","6100060","IRS01ST","9100040",0
"5102062","6100060","IRS01ST","9100040",0
"5102063","6100060","IRS01ST","9100040",0
"5102064","6100060","IRS01ST","9100040",0
"5102065","6100065","IRS01ST","9100040",0
"5102066","6100065","IRS01ST","9100040",0
"5102067","6100065","IRS01ST","9100040",0
"5102068","6100065","IRS01ST","9100040",0
"5102069","6100065","IRS01ST","9100040",0
"5102070","6100070","IRS05ST","9200080",5
"5102071","6100070","IRS05ST","9200080",5
"5102072","6100070","IRS05ST","9200080",5
"5102073","6100070","IRS05ST","9200080",5
"5102074","6100070","IRS05ST","9200080",5
"5102075","6100075","IRS05ST","9200080",5
"5102076","6100075","IRS05ST","9200080",5
"5102077","6100075","IRS05ST","9200080",5
"5102078","6100075","IRS05ST","9200080",5
"5102079","6100075","IRS05ST","9200080",5
"5102080","6100080","IRS10ST","9200100",6
"5102081","6100080","IRS10ST","9200100",6
"5102082","6100080","IRS10ST","9200100",6
"5102083","6100080","IRS10ST","9200100",6
