"GRID_5","LL_AREA"
"6100040","2100040"
"6100045","2100040"
"6100050","2100040"
"6100055","2100040"
"6100060","2100060"
"6100065","2100060"
"6100070","2100060"
"6100075","2100060"
"6100080","2100080"
"6100085","2100080"
"6100090","2100080"
"6100095","2100080"
"6100100","2100100"
"6105045","2100040"
"6105050","2100040"
"6105055","2100040"
"6105060","2100060"
"6105065","2100060"
"6105070","2100060"
"6105075","2100060"
"6105080","2100080"
"6105085","2100080"
"6105090","2100080"
"6105095","2100080"
"6105100","2100100"
"6110040","2110040"
"6110045","2110040"
"6110050","2110040"
"6110055","2110040"
"6110060","2110060"
"6110065","2110060"
"6110070","2110060"
"6110075","2110060"
"6110080","2110080"
"6110085","2110080"
"6110090","2110080"
"6110095","2110080"
"6115035","2110020"
"6115040","2110040"
"6115050","2110040"
"6115055","2110040"
"6115060","2110060"
"6115065","2110060"
"6115070","2110060"
"6115080","2110080"
"6115085","2110080"
"6115090","2110080"
"6115095","2110080"
"6120035","2120020"
"6120040","2120040"
"6120050","2120040"
"6120055","2120040"
"6120060","2120060"
"6120065","2120060"
"6120070","2120060"
"6120085","2120080"
"6120090","2120080"
"6125030","2120020"
"6125035","2120020"
"6125045","2120040"
"6125050","2120040"
"6125055","2120040"
"6125060","2120060"
"6125065","2120060"
"6130045","2130040"
"6130050","2130040"
"6200035","2200020"
"6200040","2200040"
"6200045","2200040"
"6200050","2200040"
"6200055","2200040"
"6200060","2200060"
"6200065","2200060"
"6200070","2200060"
"6200075","2200060"
"6200080","2200080"
"6200085","2200080"
"6200090","2200080"
"6200095","2200080"
"6200100","2200100"
"6205035","2200020"
"6205040","2200040"
"6205045","2200040"
"6205050","2200040"
"6205055","2200040"
"6205060","2200060"
"6205065","2200060"
"6205070","2200060"
"6205075","2200060"
"6205080","2200080"
"6205085","2200080"
"6205090","2200080"
"6205095","2200080"
"6205100","2200100"
"6205105","2200100"
"6205110","2200100"
"6205115","2200100"
"6205120","2200120"
"6205125","2200120"
"6210035","2210020"
"6210040","2210040"
"6210045","2210040"
"6210050","2210040"
"6210055","2210040"
"6210060","2210060"
"6210065","2210060"
"6210070","2210060"
"6210075","2210060"
"6210080","2210080"
"6210085","2210080"
"6210090","2210080"
"6210095","2210080"
"6210100","2210100"
"6210105","2210100"
"6210110","2210100"
"6210115","2210100"
"6210120","2210120"
"6210125","2210120"
"6215030","2210020"
"6215035","2210020"
"6215040","2210040"
"6215045","2210040"
"6215050","2210040"
"6215055","2210040"
"6215060","2210060"
"6215065","2210060"
"6215070","2210060"
"6215075","2210060"
"6215080","2210080"
"6215085","2210080"
"6215090","2210080"
"6215095","2210080"
"6215100","2210100"
"6215105","2210100"
"6215110","2210100"
"6215115","2210100"
"6215120","2210120"
"6215125","2210120"
"6220030","2220020"
"6220035","2220020"
"6220040","2220040"
"6220045","2220040"
"6220050","2220040"
"6220055","2220040"
"6220060","2220060"
"6220065","2220060"
"6220070","2220060"
"6220075","2220060"
"6220080","2220080"
"6220085","2220080"
"6220090","2220080"
"6220095","2220080"
"6220100","2220100"
"6220105","2220100"
"6220110","2220100"
"6220115","2220100"
"6225030","2220020"
"6225035","2220020"
"6225040","2220040"
"6225045","2220040"
"6225050","2220040"
"6225055","2220040"
"6225060","2220060"
"6225065","2220060"
"6225070","2220060"
"6225075","2220060"
"6225080","2220080"
"6225085","2220080"
"6225090","2220080"
"6225095","2220080"
"6225100","2220100"
"6225105","2220100"
"6225110","2220100"
"6230020","2230020"
"6230025","2230020"
"6230030","2230020"
"6230035","2230020"
"6230040","2230040"
"6230045","2230040"
"6230050","2230040"
"6230055","2230040"
"6230060","2230060"
"6230065","2230060"
"6230070","2230060"
"6230075","2230060"
"6230080","2230080"
"6230085","2230080"
"6230090","2230080"
"6230095","2230080"
"6230100","2230100"
"6230105","2230100"
"6230110","2230100"
"6230115","2230100"
"6230120","2230120"
"6230125","2230120"
"6230130","2230120"
"6230135","2230120"
"6235020","2230020"
"6235025","2230020"
"6235030","2230020"
"6235035","2230020"
"6235040","2230040"
"6235045","2230040"
"6235050","2230040"
"6235055","2230040"
"6235060","2230060"
"6235065","2230060"
"6235070","2230060"
"6235075","2230060"
"6235080","2230080"
"6235085","2230080"
"6235090","2230080"
"6235095","2230080"
"6235100","2230100"
"6235105","2230100"
"6235110","2230100"
"6235115","2230100"
"6235120","2230120"
"6235125","2230120"
"6235130","2230120"
"6235135","2230120"
"6235140","2230140"
"6235145","2230140"
"6240020","2240020"
"6240025","2240020"
"6240030","2240020"
"6240035","2240020"
"6240040","2240040"
"6240045","2240040"
"6240050","2240040"
"6240055","2240040"
"6240060","2240060"
"6240065","2240060"
"6240070","2240060"
"6240075","2240060"
"6240080","2240080"
"6240085","2240080"
"6240090","2240080"
"6240095","2240080"
"6240100","2240100"
"6240105","2240100"
"6240110","2240100"
"6240115","2240100"
"6240120","2240120"
"6240125","2240120"
"6240130","2240120"
"6240135","2240120"
"6240140","2240140"
"6240145","2240140"
"6245020","2240020"
"6245025","2240020"
"6245030","2240020"
"6245035","2240020"
"6245040","2240040"
"6245045","2240040"
"6245050","2240040"
"6245055","2240040"
"6245060","2240060"
"6245065","2240060"
"6245070","2240060"
"6245075","2240060"
"6245080","2240080"
"6245085","2240080"
"6245090","2240080"
"6245095","2240080"
"6245100","2240100"
"6245105","2240100"
"6245110","2240100"
"6245115","2240100"
"6245120","2240120"
"6245125","2240120"
"6245130","2240120"
"6245135","2240120"
"6245140","2240140"
"6245145","2240140"
"6250020","2250020"
"6250025","2250020"
"6250030","2250020"
"6250035","2250020"
"6250040","2250040"
"6250045","2250040"
"6250050","2250040"
"6250055","2250040"
"6250060","2250060"
"6250065","2250060"
"6250070","2250060"
"6250075","2250060"
"6250080","2250080"
"6250085","2250080"
"6250090","2250080"
"6250095","2250080"
"6250100","2250100"
"6250105","2250100"
"6250110","2250100"
"6250115","2250100"
"6250120","2250120"
"6250125","2250120"
"6250130","2250120"
"6250135","2250120"
"6250140","2250140"
"6250145","2250140"
"6255020","2250020"
"6255025","2250020"
"6255030","2250020"
"6255035","2250020"
"6255040","2250040"
"6255045","2250040"
"6255050","2250040"
"6255055","2250040"
"6255060","2250060"
"6255065","2250060"
"6255070","2250060"
"6255075","2250060"
"6255080","2250080"
"6255085","2250080"
"6255090","2250080"
"6255095","2250080"
"6255100","2250100"
"6255105","2250100"
"6255110","2250100"
"6255115","2250100"
"6255120","2250120"
"6255125","2250120"
"6255130","2250120"
"6255135","2250120"
"6255140","2250140"
"6255145","2250140"
