"GEAR_TYPE","GRID_5","SF_AREA","PROPORTION"
"LL","6100040","2100040",1
"LL","6100045","2100040",1
"LL","6100050","2100040",1
"LL","6100055","2100040",1
"LL","6100060","2100060",1
"LL","6100065","2100060",1
"LL","6100070","2100060",1
"LL","6100075","2100060",1
"LL","6100080","2100080",1
"LL","6100085","2100080",1
"LL","6100090","2100080",1
"LL","6100095","2100080",1
"LL","6100100","2100100",1
"LL","6105045","2100040",1
"LL","6105050","2100040",1
"LL","6105055","2100040",1
"LL","6105060","2100060",1
"LL","6105065","2100060",1
"LL","6105070","2100060",1
"LL","6105075","2100060",1
"LL","6105080","2100080",1
"LL","6105085","2100080",1
"LL","6105090","2100080",1
"LL","6105095","2100080",1
"LL","6105100","2100100",1
"LL","6110040","2110040",1
"LL","6110045","2110040",1
"LL","6110050","2110040",1
"LL","6110055","2110040",1
"LL","6110060","2110060",1
"LL","6110065","2110060",1
"LL","6110070","2110060",1
"LL","6110075","2110060",1
"LL","6110080","2110080",1
"LL","6110085","2110080",1
"LL","6110090","2110080",1
"LL","6110095","2110080",1
"LL","6115035","2110020",1
"LL","6115040","2110040",1
"LL","6115050","2110040",1
"LL","6115055","2110040",1
"LL","6115060","2110060",1
"LL","6115065","2110060",1
"LL","6115070","2110060",1
"LL","6115080","2110080",1
"LL","6115085","2110080",1
"LL","6115090","2110080",1
"LL","6115095","2110080",1
"LL","6120035","2120020",1
"LL","6120040","2120040",1
"LL","6120050","2120040",1
"LL","6120055","2120040",1
"LL","6120060","2120060",1
"LL","6120065","2120060",1
"LL","6120070","2120060",1
"LL","6120085","2120080",1
"LL","6120090","2120080",1
"LL","6125030","2120020",1
"LL","6125035","2120020",1
"LL","6125045","2120040",1
"LL","6125050","2120040",1
"LL","6125055","2120040",1
"LL","6125060","2120060",1
"LL","6125065","2120060",1
"LL","6130045","2130040",1
"LL","6130050","2130040",1
"LL","6200035","2200020",1
"LL","6200040","2200040",1
"LL","6200045","2200040",1
"LL","6200050","2200040",1
"LL","6200055","2200040",1
"LL","6200060","2200060",1
"LL","6200065","2200060",1
"LL","6200070","2200060",1
"LL","6200075","2200060",1
"LL","6200080","2200080",1
"LL","6200085","2200080",1
"LL","6200090","2200080",1
"LL","6200095","2200080",1
"LL","6200100","2200100",1
"LL","6205035","2200020",1
"LL","6205040","2200040",1
"LL","6205045","2200040",1
"LL","6205050","2200040",1
"LL","6205055","2200040",1
"LL","6205060","2200060",1
"LL","6205065","2200060",1
"LL","6205070","2200060",1
"LL","6205075","2200060",1
"LL","6205080","2200080",1
"LL","6205085","2200080",1
"LL","6205090","2200080",1
"LL","6205095","2200080",1
"LL","6205100","2200100",1
"LL","6205105","2200100",1
"LL","6205110","2200100",1
"LL","6205115","2200100",1
"LL","6205120","2200120",1
"LL","6205125","2200120",1
"LL","6210035","2210020",1
"LL","6210040","2210040",1
"LL","6210045","2210040",1
"LL","6210050","2210040",1
"LL","6210055","2210040",1
"LL","6210060","2210060",1
"LL","6210065","2210060",1
"LL","6210070","2210060",1
"LL","6210075","2210060",1
"LL","6210080","2210080",1
"LL","6210085","2210080",1
"LL","6210090","2210080",1
"LL","6210095","2210080",1
"LL","6210100","2210100",1
"LL","6210105","2210100",1
"LL","6210110","2210100",1
"LL","6210115","2210100",1
"LL","6210120","2210120",1
"LL","6210125","2210120",1
"LL","6215030","2210020",1
"LL","6215035","2210020",1
"LL","6215040","2210040",1
"LL","6215045","2210040",1
"LL","6215050","2210040",1
"LL","6215055","2210040",1
"LL","6215060","2210060",1
"LL","6215065","2210060",1
"LL","6215070","2210060",1
"LL","6215075","2210060",1
"LL","6215080","2210080",1
"LL","6215085","2210080",1
"LL","6215090","2210080",1
"LL","6215095","2210080",1
"LL","6215100","2210100",1
"LL","6215105","2210100",1
"LL","6215110","2210100",1
"LL","6215115","2210100",1
"LL","6215120","2210120",1
"LL","6215125","2210120",1
"LL","6220030","2220020",1
"LL","6220035","2220020",1
"LL","6220040","2220040",1
"LL","6220045","2220040",1
"LL","6220050","2220040",1
"LL","6220055","2220040",1
"LL","6220060","2220060",1
"LL","6220065","2220060",1
"LL","6220070","2220060",1
"LL","6220075","2220060",1
"LL","6220080","2220080",1
"LL","6220085","2220080",1
"LL","6220090","2220080",1
"LL","6220095","2220080",1
"LL","6220100","2220100",1
"LL","6220105","2220100",1
"LL","6220110","2220100",1
"LL","6220115","2220100",1
"LL","6225030","2220020",1
"LL","6225035","2220020",1
"LL","6225040","2220040",1
"LL","6225045","2220040",1
"LL","6225050","2220040",1
"LL","6225055","2220040",1
"LL","6225060","2220060",1
"LL","6225065","2220060",1
"LL","6225070","2220060",1
"LL","6225075","2220060",1
"LL","6225080","2220080",1
"LL","6225085","2220080",1
"LL","6225090","2220080",1
"LL","6225095","2220080",1
"LL","6225100","2220100",1
"LL","6225105","2220100",1
"LL","6225110","2220100",1
"LL","6230020","2230020",1
"LL","6230025","2230020",1
"LL","6230030","2230020",1
"LL","6230035","2230020",1
"LL","6230040","2230040",1
"LL","6230045","2230040",1
"LL","6230050","2230040",1
"LL","6230055","2230040",1
"LL","6230060","2230060",1
"LL","6230065","2230060",1
"LL","6230070","2230060",1
"LL","6230075","2230060",1
"LL","6230080","2230080",1
"LL","6230085","2230080",1
"LL","6230090","2230080",1
"LL","6230095","2230080",1
"LL","6230100","2230100",1
"LL","6230105","2230100",1
"LL","6230110","2230100",1
"LL","6230115","2230100",1
"LL","6230120","2230120",1
"LL","6230125","2230120",1
"LL","6230130","2230120",1
"LL","6230135","2230120",1
"LL","6235020","2230020",0.999999940395355
"LL","6235025","2230020",1
"LL","6235030","2230020",1
"LL","6235035","2230020",1
"LL","6235040","2230040",1
"LL","6235045","2230040",1
"LL","6235050","2230040",1
"LL","6235055","2230040",1
"LL","6235060","2230060",1
"LL","6235065","2230060",1
"LL","6235070","2230060",1
"LL","6235075","2230060",1
"LL","6235080","2230080",1
"LL","6235085","2230080",1
"LL","6235090","2230080",1
"LL","6235095","2230080",1
"LL","6235100","2230100",1
"LL","6235105","2230100",1
"LL","6235110","2230100",1
"LL","6235115","2230100",1
"LL","6235120","2230120",1
