"GRID_5","PS_AREA_CODE","PROPORTION","PS_AREA","PS_AREA_NUMBER"
"6100040","IRS01ST",1,"9100040",0
"6100045","IRS01ST",1,"9100040",0
"6100050","IRS01ST",1,"9100040",0
"6100055","IRS01ST",1,"9100040",0
"6100060","IRS01ST",1,"9100040",0
"6100065","IRS01ST",1,"9100040",0
"6100070","IRS05ST",1,"9200080",5
"6100075","IRS05ST",1,"9200080",5
"6100080","IRS10ST",0.999999284744263,"9200100",6
"6100085","IRS10ST",0.99999988079071,"9200100",6
"6100090","IRS10ST",0.999999940395355,"9200100",6
"6100095","IRS10ST",0.829295814037323,"9200100",6
"6100100","IRS09ST",0.999995529651642,"9100100",7
"6105045","IRS01ST",1,"9100040",0
"6105050","IRS01ST",1,"9100040",0
"6105055","IRS01ST",1,"9100040",0
"6105060","IRS01ST",1,"9100040",0
"6105065","IRS01ST",1,"9100040",0
"6105070","IRS08ST",0.999980568885803,"9100080",8
"6105075","IRS08ST",0.999976813793182,"9100080",8
"6105080","IRS09ST",0.999973177909851,"9100100",7
"6105085","IRS09ST",0.99997889995575,"9100100",7
"6105090","IRS09ST",0.999979615211487,"9100100",7
"6105095","IRS09ST",0.999985873699188,"9100100",7
"6105100","IRS09ST",0.999988317489624,"9100100",7
"6110040","IRS07ST",1,"9120040",9
"6110045","IRS07ST",1,"9120040",9
"6110050","IRS01ST",0.346675962209702,"9100040",0
"6110050","IRS07ST",0.653324484825134,"9120040",9
"6110055","IRS01ST",0.402233004570007,"9100040",0
"6110055","IRS07ST",0.597766995429993,"9120040",9
"6110060","IRS01ST",0.402233004570007,"9100040",0
"6110060","IRS07ST",0.597766995429993,"9120040",9
"6110065","IRS01ST",0.402233004570007,"9100040",0
"6110065","IRS07ST",0.597766995429993,"9120040",9
"6110070","IRS08ST",0.999999821186066,"9100080",8
"6110075","IRS08ST",0.767754852771759,"9100080",8
"6110075","IRS09ST",0.232219040393829,"9100100",7
"6110080","IRS09ST",0.999999761581421,"9100100",7
"6110085","IRS09ST",1,"9100100",7
"6110090","IRS09ST",1,"9100100",7
"6110095","IRS09ST",0.999996542930603,"9100100",7
"6115035","IRS07ST",1,"9120040",9
"6115040","IRS07ST",1,"9120040",9
"6115050","IRS07ST",1,"9120040",9
"6115055","IRS07ST",1,"9120040",9
"6115060","IRS07ST",1,"9120040",9
"6115065","IRS07ST",1,"9120040",9
"6115070","IRS08ST",0.999999463558197,"9100080",8
"6115080","IRS09ST",0.999999701976776,"9100100",7
"6115085","IRS09ST",0.99999988079071,"9100100",7
"6115090","IRS09ST",0.999997675418854,"9100100",7
"6115095","IRS09ST",0.999988615512848,"9100100",7
"6120035","IRS07ST",1,"9120040",9
"6120040","IRS07ST",1,"9120040",9
"6120050","IRS07ST",1,"9120040",9
"6120055","IRS07ST",1,"9120040",9
"6120060","IRS07ST",1,"9120040",9
