WPTmT,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2022-dp,3.975524,2.993983,8.714478,19.657175,21.070011,20.341394,21.068592,21.143524,20.820346,20.829650,21.038357,20.274099,19.469871,18.819411,20.227955,19.369058,18.290120,16.180797,17.587294,14.533472,18.802346,16.525004,19.124633,15.200415,16.011550,17.309696,17.571069,15.465077,15.247223,12.302189,12.883008,14.956431,14.224099,14.513348,13.967121,13.903684,11.976164,12.382097,10.257738,10.236466,10.478103,13.536624,13.888946,16.199322,14.752244,12.802828,11.738141,13.720508,14.307258,17.191798,16.914996,13.466954,16.527708,16.185841,16.338352,15.563406,16.515487,17.087954,15.875903,17.065567,15.237318,13.942758,13.974414,15.484038,14.513080,15.539482,15.108132,16.485483,14.204484,14.159685,13.155434
2019-a3,2.297819,2.297819,8.460416,19.681025,21.152893,20.572912,20.730812,20.588651,20.330515,20.437524,20.726093,20.154339,19.397516,18.572769,20.124100,19.158665,18.166785,16.175792,17.393321,15.052999,17.136839,15.720855,17.888401,15.218738,15.723537,17.158149,17.300394,16.398774,16.968651,17.391676,17.167292,17.422342,16.851683,17.138893,17.256279,17.001661,13.188135,13.680700,11.827587,11.860548,10.705094,13.583326,15.392544,16.911154,17.249694,16.645534,16.711948,16.421559,16.057400,16.890719,16.555996,15.015522,14.690692,16.492488,16.457057,16.210439,17.053680,17.568602,15.910163,16.454136,14.741860,14.188776,14.390536,15.209737,14.675660,15.702555,15.572459,16.997435,,,
2019-a2,2.297819,2.297819,8.460416,19.681025,21.146866,20.558054,20.713560,20.566459,20.306604,20.418792,20.710092,20.139956,19.386244,18.556281,20.108665,19.142701,18.149529,16.167312,17.337769,15.016686,17.068290,15.661245,17.809002,15.166778,15.663098,17.087821,17.218970,16.326528,15.928225,16.018089,15.747001,15.537574,14.829349,15.359412,16.706798,15.874518,12.966383,13.435999,11.670837,11.964258,10.640308,13.779358,15.475636,16.384625,17.491831,16.845310,16.722458,16.887711,16.368713,16.591029,16.046211,16.465338,15.532160,16.284167,16.434084,17.048643,17.400318,17.279892,15.488550,18.197891,11.403086,14.136440,16.737486,15.649772,17.208509,15.702555,15.572459,17.138224,,,
2019-a1,2.297819,2.297819,8.460416,19.681025,21.086623,20.353361,21.081634,21.155861,20.828418,20.834397,21.043002,20.277234,19.472694,18.822741,20.231508,19.375162,18.295060,16.182700,17.589721,14.533717,18.805633,16.523906,19.130058,15.200197,16.011821,17.316786,17.577587,15.469935,15.297528,12.331660,12.936595,15.046336,14.403510,14.598857,14.050575,14.003325,12.065203,12.561646,11.029953,10.814709,10.563574,13.587626,13.962317,16.489407,14.941062,12.934520,11.823364,13.884915,14.465633,17.476489,17.216008,13.602085,17.680501,14.642362,15.279457,17.048643,17.400318,17.279892,15.488550,18.197891,11.403086,14.136440,16.737486,15.649772,17.207942,19.334590,20.351885,20.763865,,,
2019-p,2.297819,2.297819,8.460416,19.681025,21.086623,20.353361,21.081634,21.155861,20.828418,20.834397,21.043002,20.277234,19.472694,18.822741,20.231508,19.375162,18.295060,16.182700,17.589721,14.533717,18.805633,16.523906,19.130058,15.200197,16.011821,17.316786,17.577587,15.469935,15.297528,12.331660,12.936595,15.046336,14.403510,14.598857,14.050575,14.003325,12.065203,12.561646,11.028983,10.815430,10.563711,13.588347,13.962317,16.489407,14.940990,12.934393,11.823209,13.881790,14.460936,17.465405,17.198706,13.570130,17.653518,14.617062,15.213629,17.004554,17.392367,17.263216,15.487684,18.194955,11.279914,14.122480,16.733052,15.616295,17.190816,19.340465,20.344858,20.639428,,,
2016,2.297819,2.297819,7.522081,19.201002,20.866196,20.179731,20.969796,21.037153,20.744259,20.781550,20.991239,20.242304,19.444629,18.787751,20.201958,19.335490,18.265375,16.150742,17.522885,14.493816,18.671198,16.383534,18.930182,15.147706,15.955938,17.185631,17.466884,15.381096,15.217783,12.288335,12.884933,14.982946,14.073166,14.147891,14.011584,10.889493,3.894821,4.505360,4.210032,4.087562,3.153440,5.989436,9.241261,16.390489,14.855746,12.858373,11.774109,13.795693,14.404581,17.323086,17.076008,13.510073,17.555967,14.520302,15.152380,16.894314,17.324979,16.871160,15.040446,17.981801,13.062323,13.541539,18.823488,17.336841,15.860431,,,,,,
2014,2.300766,2.305368,7.248986,19.028342,20.863868,20.181943,20.933458,20.998996,20.723595,20.770796,20.979241,20.237123,19.437282,18.779425,20.232840,19.339565,18.263249,16.132784,17.576769,14.497203,18.752907,16.424268,18.945526,15.154968,15.960876,17.253481,17.472050,15.571862,15.198433,12.255752,12.878951,14.895038,13.014162,14.029362,13.436889,10.903130,3.926537,4.541770,4.231358,4.114187,3.171104,6.014653,9.268431,16.317029,14.853500,12.860178,11.817769,13.835960,14.387302,17.191838,17.172935,13.648678,14.893486,16.457905,16.593036,16.576484,17.093663,16.867697,14.751686,15.104139,14.946185,13.992821,14.139575,13.258890,,,,,,,
2013,2.456782,2.460869,7.255284,16.506143,17.911743,17.313799,17.768232,17.857562,17.624453,17.641598,17.759334,17.182241,16.550555,16.064099,17.472207,16.642537,15.816248,14.026427,15.997231,12.328189,16.633999,14.353640,18.559681,12.731805,14.327320,16.585657,17.686840,17.700291,14.631400,10.958787,11.458694,13.083930,11.652415,12.388771,12.098828,10.214349,4.051455,4.646271,4.347054,4.252497,3.328801,6.030607,8.856134,14.433356,13.179289,11.964872,10.737331,12.251399,12.448326,14.874746,14.832928,11.963293,12.933181,13.965702,14.282453,14.221359,14.445571,14.947171,13.231763,13.601936,13.453356,13.104618,11.903956,,,,,,,,
2012,2.454163,2.454163,11.898433,17.762196,18.603772,17.839535,18.017258,18.138889,17.819721,17.741146,17.862237,17.249817,16.613837,16.114568,17.589764,16.806902,15.960076,14.105770,16.118084,12.393146,16.786890,14.470172,18.830665,12.791765,14.396583,16.949422,18.042479,18.218646,15.113822,11.035564,11.682970,13.335125,11.913875,12.596511,12.337697,9.992232,3.965895,4.580684,4.426340,4.156731,3.272081,6.015321,9.013315,15.543198,13.761856,12.687210,11.223691,12.706904,13.303334,16.174069,16.126851,12.837103,13.756422,15.964264,16.241754,15.909017,15.800596,15.942695,15.693457,14.615345,14.195421,14.056772,,,,,,,,,
2011,2.454163,2.454163,11.898433,18.391360,18.605102,17.835609,18.087583,18.139183,17.819458,17.741500,17.862255,17.250808,16.613815,16.114592,17.589759,16.807055,15.960171,14.105762,16.117984,12.392959,16.913939,14.470129,18.830258,12.791982,14.397568,16.949910,18.041937,18.229212,15.119654,11.034196,11.726066,13.373580,12.152514,12.973496,12.462746,12.343802,10.252829,10.600440,12.761922,11.229162,13.025952,14.951620,13.292848,15.894220,14.013418,12.857965,11.459877,13.025265,13.606502,16.495212,16.397214,12.719912,13.724581,16.250779,16.804034,16.547574,15.562402,15.498433,16.164790,16.686891,17.306688,,,,,,,,,,
