Fishery,Fleet,Gear,SchoolType,IRBETEA,IRBETNE,IRBETNW,IRBETSC,IRBETZC,IRBETZE,IRBETZW,IRBETSE,IRBETSW,IRBETWE
BB,AUS,BB,UNCL,1,1,1,1,1,1,1,1,1,1
BB,BHR,GILL,UNCL,1,1,1,1,1,1,1,1,1,1
BB,IDN,DSEI,UNCL,1,1,1,1,1,1,1,1,1,1
BB,IDN,PSS,UNCL,1,1,1,1,1,1,1,1,1,1
BB,IND  ,BB,UNCL,1,1,1,1,1,1,1,1,1,1
BB,IND,PSS,UNCL,1,1,1,1,1,1,1,1,1,1
BB,JOR,PSS,UNCL,1,1,1,1,1,1,1,1,1,1
BB,LKA,RIN,UNCL,1,1,1,1,1,1,1,1,1,1
BB,LKA,RNOF,UNCL,1,1,1,1,1,1,1,1,1,1
BB,MDV,BB,FS,1,1,1,1,1,1,1,1,1,1
BB,MDV,BB,LA,1,1,1,1,1,1,1,1,1,1
BB,MDV,BB,LS,1,1,1,1,1,1,1,1,1,1
BB,MDV,BB,UNCL,1,1,1,1,1,1,1,1,1,1
BB,MDV,BBM,UNCL,1,1,1,1,1,1,1,1,1,1
BB,MDV,BBN,UNCL,1,1,1,1,1,1,1,1,1,1
BB,MDV,BBOF,FS,1,1,1,1,1,1,1,1,1,1
BB,MDV,BBOF,LA,1,1,1,1,1,1,1,1,1,1
BB,MDV,BBOF,UNCL,1,1,1,1,1,1,1,1,1,1
BB,TZA,BB,UNCL,1,1,1,1,1,1,1,1,1,1
BB,TZA,PSS,UNCL,1,1,1,1,1,1,1,1,1,1
FL,BLZ,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,CHN,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,IDN,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,IND,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,LKA,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,MDV,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,MUS,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,MYS,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,NEICE,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,NEIDN,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,NEI-ICE,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,NEI-IDN,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,SYC,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,THA,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,TWN,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,TZA,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
FL,VUT,FLL,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,AUS,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,BGD,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,COM,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,EUFRA,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,EUMYT,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,EUREU,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,FRAT,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,IDN,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,IDN,LLCO,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,IND,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,IND,LLCO,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,JOR,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,KEN,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,LKA,G/L,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,LKA,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,LKA,HLOF,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,LKA,LLCO,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,MDV,HAND,FD,2,2,2,2,2,2,2,2,2,2
LINE,MDV,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,MDV,HLOF,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,MDV,LLCO,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,MOZ,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,SYC,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,TZA,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LINE,YEM,HAND,UNCL,2,2,2,2,2,2,2,2,2,2
LL,AUS,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,BLZ,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,CHN,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,CHN,LLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,ESP,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,ESP,LLEX,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUESP,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUESP,LLEX,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUFRA,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUFRA,ELLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUGBR,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUGBR,LLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUMYT,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUPRT,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUMYT,LLCO,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUPRT,LLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUREU,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUREU,ELLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,EUREU,LLCO,UNCL,2,2,1,3,3,3,3,3,3,1
LL,FRA-REU,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,FRAT,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,GBR,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,GBR,LLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,GIN,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,IDN,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,IND,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,IND,LLEX,UNCL,2,2,1,3,3,3,3,3,3,1
LL,IRN,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,JPN,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,JPN,LLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,KEN,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,KOR,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,KOR,LLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,LKA,LG,UNCL,2,2,1,3,3,3,3,3,3,1
LL,LKA,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,MDG,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,MDG,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,MDV,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,MOZ,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,MUS,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,MUS,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,NEI-DFRZ,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,NEI-DFRZ,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,NEIFR,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,NEIFR,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,OMN  ,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,PAK,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,PHL,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,PRT,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,PRT,LLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,SEN,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,SUN,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,SYC,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,SYC,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,SYC,LLCO,UNCL,2,2,1,3,3,3,3,3,3,1
LL,THA,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,TWN,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,TWN,LLOB,UNCL,2,2,1,3,3,3,3,3,3,1
LL,TZA,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,TZA  ,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,URY,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,ZAF,ELL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,ZAF,LL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,ZAF,SLL,UNCL,2,2,1,3,3,3,3,3,3,1
LL,ZAF,TLL,UNCL,2,2,1,3,3,3,3,3,3,1
OTHER,AUS,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,AUS,RR,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,AUS,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,BGD,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,COM,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,COM,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,DJI,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,EUFRA,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,EUREU,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,EUMYT,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,FRA-REU,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,FRAT,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IDN,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IDN,LIFT,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IDN,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IND  ,BS,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IND,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IND  ,GIOF,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IND  ,TRAW,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IND,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IRN,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,IRN,GIOF,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,JOR,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,JOR,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,KEN,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,KEN,SPOR,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,LKA,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,LKA,GIOF,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,LKA,GL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,LKA,HATR,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,LKA,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,LKA,UNCL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MDG,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MDV,TROL,LA,2,2,1,1,1,2,1,2,1,1
OTHER,MDV,TROLM,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MDV,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MDV,UNCL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MOZ  ,BS,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MOZ,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MOZ  ,HARP,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MOZ  ,PSS,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MOZ,SPOR,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MOZ,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MUS,HATR,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MUS,SPOR,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,MUS,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,OMN,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,PAK,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,QAT,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,SUN,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,TMP,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,TWN,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,TZA,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,YEM,GILL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,YEM,TROL,UNCL,2,2,1,1,1,2,1,2,1,1
OTHER,ZAF,SPOR,UNCL,2,2,1,1,1,2,1,2,1,1
PSFS,BLZ,PS,FS,2,2,1,1,1,2,1,2,1,1
PSFS,ESP,PS,FS,2,2,1,1,1,2,1,2,1,1
PSFS,EUESP,PS,FS,2,2,1,1,1,2,1,2,1,1
PSFS,EUFRA,PS,FS,2,2,1,1,1,2,1,2,1,1
