FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,A1
AUS,BB,UNCL,OTHER,A1
AUS,ELL,UNCL,OTHER,A1
AUS,GILL,UNCL,OTHER,A1
AUS,HAND,UNCL,OTHER,A1
AUS,PS,FS,OTHER,A1
AUS,PSS,UNCL,OTHER,A1
AUS,SPOR,UNCL,OTHER,A1
AUS,TRAP,UNCL,OTHER,A1
AUS,TRAW,UNCL,OTHER,A1
AUS,TROL,UNCL,OTHER,A1
BGD,HAND,UNCL,OTHER,A1
BGD,GILL,UNCL,OTHER,A1
BGD,LIFT,UNCL,OTHER,A1
BGD,LLCO,UNCL,OTHER,A1
BHR,GILL,UNCL,OTHER,A1
BLZ,FLL,UNCL,OTHER,A1
BLZ,LL,UNCL,OTHER,A1
BLZ,PS,FS,OTHER,A1
BLZ,PS,LS,OTHER,A1
CHN,FLL,UNCL,OTHER,A1
CHN,LL,UNCL,OTHER,A1
CHN,LLOB,UNCL,OTHER,A1
COM,GILL,UNCL,OTHER,A1
COM,HAND,UNCL,OTHER,A1
COM,LLCO,UNCL,OTHER,A1
COM,TROL,UNCL,OTHER,A1
DJI,GILL,UNCL,OTHER,A1
ESP,BB,UNCL,OTHER,A1
ESP,ELL,UNCL,OTHER,A1
ESP,LLEX,UNCL,OTHER,A1
ESP,PS,FS,PSFS,A1
ESP,PS,LS,PSLS,A1
EUESP,BB,UNCL,OTHER,A1
EUESP,ELL,UNCL,OTHER,A1
EUESP,LLEX,UNCL,OTHER,A1
EUESP,PS,FS,PSFS,A1
EUESP,PS,LS,PSLS,A1
EUFRA,HAND,UNCL,OTHER,A1
EUFRA,PS,FS,PSFS,A1
EUFRA,PS,LS,PSLS,A1
EUFRA,TROL,UNCL,OTHER,A1
EUGBR,ELL,UNCL,OTHER,A1
EUITA,PS,FS,PSFS,A1
EUITA,PS,LS,PSLS,A1
EUMYT,HAND,UNCL,OTHER,A1
EUMYT,PS,FS,PSFS,A1
EUMYT,PS,LS,PSLS,A1
