FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,NE,SE,SW,NW,OT
AUS,ELL,UNCL,AUEL,SE,SE,SE,SE,SE
AUS,HAND,UNCL,TWFL,SE,SE,SE,SE,SE
BLZ,FLL,UNCL,TWFL,NE,SE,SW,NW,OT
BLZ,LL,UNCL,TWLL,NE,SE,SW,NW,OT
CHN,FLL,UNCL,TWFL,NE,SE,SW,NW,OT
CHN,LL,UNCL,TWLL,NE,SE,SW,NW,OT
CHN,LLOB,UNCL,TWLL,NE,SE,SW,NW,OT
COM,GILL,UNCL,ALGI,SW,SW,SW,SW,SW
COM,HAND,UNCL,TWFL,NW,NW,NW,NW,NW
COM,TROL,UNCL,ALGI,NW,NW,NW,NW,NW
EGY,GILL,UNCL,ALGI,NW,NW,NW,NW,NW
EGY,HAND,UNCL,TWFL,NW,NW,NW,NW,NW
EGY,TROL,UNCL,ALGI,NW,NW,NW,NW,NW
ESP,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
ESP,LLEX,UNCL,EUEL,NE,SE,SW,NW,OT
EUESP,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
EUESP,LL,UNCL,EUEL,NE,SE,SW,NW,OT
EUESP,LLEX,UNCL,EUEL,NE,SE,SW,NW,OT
EUFRA,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
EUFRA,ELLOB,UNCL,EUEL,NE,SE,SW,NW,OT
EUFRA,HAND,UNCL,EUEL,NW,NW,NW,NW,NW
EUGBR,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
EUGBR,LLOB,UNCL,EUEL,NE,SE,SW,NW,OT
EUMYT,ELL,UNCL,ISEL,NW,NW,NW,NW,NW
EUMYT,HAND,UNCL,TWFL,NW,NW,NW,NW,NW
EUMYT,TROL,UNCL,ALGI,NW,NW,NW,NW,NW
EUPRT,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
EUPRT,LLOB,UNCL,EUEL,NE,SE,SW,NW,OT
EUREU,ELL,UNCL,ISEL,SW,SW,SW,SW,SW
EUREU,ELLOB,UNCL,EUEL,NE,SE,SW,NW,OT
EUREU,HAND,UNCL,TWFL,SW,SW,SW,SW,SW
EUREU,LLCO,UNCL,TWFL,SW,SW,SW,SW,SW
EUREU,TROL,UNCL,ALGI,SW,SW,SW,SW,SW
FRAT,ELL,UNCL,ISEL,NW,NW,NW,NW,NW
FRAT,HAND,UNCL,TWFL,NW,NW,NW,NW,NW
FRAT,TROL,UNCL,ALGI,NW,NW,NW,NW,NW
GBR,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
GBR,LL,UNCL,EUEL,NE,SE,SW,NW,OT
GIN,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
IDN,DSEI,UNCL,ALGI,NE,NE,NE,NE,NE
IDN,FLL,UNCL,TWFL,NE,NE,NE,NE,NE
IDN,GILL,UNCL,ALGI,NE,NE,NE,NE,NE
IDN,HAND,UNCL,TWFL,NE,NE,NE,NE,NE
IDN,LL,UNCL,TWLL,NE,SE,SW,NW,OT
IDN,LLCO,UNCL,TWFL,NE,NE,NE,NE,NE
IDN,PSS,UNCL,ALGI,NE,NE,NE,NE,NE
IDN,TROL,UNCL,ALGI,NE,NE,NE,NE,NE
IND,FLL,UNCL,TWFL,NE,SE,SW,NW,OT
IND,GILL,UNCL,ALGI,NE,SE,SW,NW,OT
IND,GIOF,UNCL,ALGI,NE,SE,SW,NW,OT
IND,HAND,UNCL,TWFL,NE,SE,SW,NW,OT
IND,HARP,UNCL,ALGI,NE,SE,SW,NW,OT
IND,LIFT,UNCL,ALGI,NE,SE,SW,NW,OT
IND,LL,UNCL,TWLL,NE,SE,SW,NW,OT
IND,LLCO,UNCL,TWFL,NE,SE,SW,NW,OT
IND,LLEX,UNCL,TWFL,NE,SE,SW,NW,OT
IND,TRAW,UNCL,ALGI,NE,SE,SW,NW,OT
IND,TROL,UNCL,ALGI,NE,SE,SW,NW,OT
IRN,GILL,UNCL,ALGI,NW,NW,NW,NW,NW
IRN,GIOF,UNCL,ALGI,NW,NW,NW,NW,NW
IRN,LL,UNCL,TWLL,NE,SE,SW,NW,OT
JOR,GILL,UNCL,ALGI,NW,NW,NW,NW,NW
JOR,HAND,UNCL,TWFL,NW,NW,NW,NW,NW
JOR,TROL,UNCL,ALGI,NW,NW,NW,NW,NW
JPN,GILL,UNCL,ALGI,NE,NE,NE,NE,NE
JPN,LL,UNCL,JPLL,NE,SE,SW,NW,OT
JPN,LLOB,UNCL,JPLL,NE,SE,SW,NW,OT
KEN,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
KEN,GILL,UNCL,ALGI,NE,SE,SW,NW,OT
KEN,HAND,UNCL,TWFL,NE,SE,SW,NW,OT
KEN,LLCO,UNCL,TWFL,NW,NW,NW,NW,NW
KEN,SPOR,UNCL,ALGI,NW,NW,NW,NW,NW
KEN,TROL,UNCL,ALGI,NW,NW,NW,NW,NW
KOR,LL,UNCL,JPLL,NE,SE,SW,NW,OT
KOR,LLOB,UNCL,JPLL,NE,SE,SW,NW,OT
LKA,FLL,UNCL,TWFL,NE,NE,NE,NE,NE
LKA,G/L,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,GILL,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,GIOF,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,GL,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,HAND,UNCL,TWFL,NE,NE,NE,NE,NE
LKA,HATR,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,HLOF,UNCL,TWFL,NE,NE,NE,NE,NE
LKA,LG,UNCL,TWFL,NE,NE,NE,NE,NE
LKA,LL,UNCL,TWFL,NE,SE,SW,NW,OT
LKA,LLCO,UNCL,TWFL,NE,NE,NE,NE,NE
LKA,RIN,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,RNOF,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,TROL,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,TROLM,UNCL,ALGI,NE,NE,NE,NE,NE
LKA,UNCL,UNCL,ALGI,NE,NE,NE,NE,NE
MDG,ELL,UNCL,ISEL,SW,SW,SW,SW,SW
MDG,LL,UNCL,TWLL,NE,SE,SW,NW,OT
MDV,FLL,UNCL,TWFL,NE,NE,NE,NE,NE
MDV,LL,UNCL,TWLL,NE,SE,SW,NW,OT
MDV,LLCO,UNCL,TWFL,NW,NW,NW,NW,NW
MDV,TROL,UNCL,ALGI,NW,NW,NW,NW,NW
MOZ,ELL,UNCL,EUEL,SW,SW,SW,SW,SW
MOZ,HAND,UNCL,TWFL,SW,SW,SW,SW,SW
MOZ,SPOR,UNCL,ALGI,SW,SW,SW,SW,SW
MOZ,TROL,UNCL,ALGI,SW,SW,SW,SW,SW
MUS,ELL,UNCL,ISEL,SW,SW,SW,SW,SW
MUS,FLL,UNCL,ISEL,NE,SE,SW,NW,OT
MUS,LL,UNCL,ISEL,NE,SE,SW,NW,OT
MUS,SPOR,UNCL,ALGI,SW,SW,SW,SW,SW
MYS,FLL,UNCL,TWFL,NE,SE,SW,NW,OT
MYS,GILL,UNCL,ALGI,NE,NE,NE,NE,NE
NEICE,FLL,UNCL,TWFL,NE,SE,SW,NW,OT
NEIDN,FLL,UNCL,TWFL,SE,SE,SE,SE,SE
NEIFR,ELL,UNCL,TWLL,NE,SE,SW,NW,OT
NEIFR,LL,UNCL,TWLL,NE,SE,SW,NW,OT
NEIFR,TLL,UNCL,TWLL,SW,SW,SW,SW,SW
OMN,BS,UNCL,ALGI,NE,SE,SW,NW,OT
OMN,FLL,UNCL,TWFL,NW,NW,NW,NW,NW
OMN,GILL,UNCL,ALGI,NW,NW,NW,NW,NW
OMN,GIOF,UNCL,ALGI,NE,SE,SW,NW,OT
OMN,HAND,UNCL,TWFL,NW,NW,NW,NW,NW
OMN,LL,UNCL,JPLL,NE,SE,SW,NW,OT
PAK,GILL,UNCL,ALGI,NW,NW,NW,NW,NW
PHL,LL,UNCL,TWLL,NE,SE,SW,NW,OT
PRT,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
PRT,LL,UNCL,EUEL,NE,SE,SW,NW,OT
PRT,LLD,UNCL,EUEL,NE,SE,SW,NW,OT
PRT,LLOB,UNCL,EUEL,NE,SE,SW,NW,OT
PRT,SLL,UNCL,EUEL,NE,SE,SW,NW,OT
SEN,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
SUN,LL,UNCL,TWLL,NE,SE,SW,NW,OT
SYC,ELL,UNCL,ISEL,NW,NW,NW,NW,NW
SYC,HAND,UNCL,TWFL,NW,NW,NW,NW,NW
SYC,LL,UNCL,TWLL,NE,SE,SW,NW,OT
THA,FLL,UNCL,TWFL,NE,NE,NE,NE,NE
THA,LL,UNCL,JPLL,NE,SE,SW,NW,OT
TWN,FLL,UNCL,TWFL,NE,SE,SW,NW,OT
TWN,GILL,UNCL,ALGI,NE,SE,SW,NW,OT
TWN,LL,UNCL,TWLL,NE,SE,SW,NW,OT
TWN,LLOB,UNCL,TWFL,NE,SE,SW,NW,OT
TZA,BB,UNCL,ALGI,NW,NW,NW,NW,NW
TZA,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
TZA,FLL,UNCL,TWFL,NW,NW,NW,NW,NW
TZA,LL,UNCL,EUEL,NE,SE,SW,NW,OT
TZA,OTHER,UNCL,ALGI,NW,NW,NW,NW,NW
TZA,PSS,UNCL,ALGI,NW,NW,NW,NW,NW
TZA,TROL,UNCL,ALGI,NW,NW,NW,NW,NW
URY,ELL,UNCL,EUEL,NE,SE,SW,NW,OT
VUT,FLL,UNCL,TWFL,NE,SE,SW,NW,OT
ZAF,ELL,UNCL,EUEL,SW,SW,SW,SW,SW
ZAF,LL,UNCL,EUEL,NE,SE,SW,NW,OT
ZAF,SLL,UNCL,EUEL,SW,SW,SW,SW,SW
ZAF,SPOR,UNCL,TWFL,SW,SW,SW,SW,SW
ZAF,TLL,UNCL,EUEL,SW,SW,SW,SW,SW
AUS,RR,UNCL,ALGI,NE,SE,SW,NW,OT
BGD,GILL,UNCL,ALGI,NE,SE,SW,NW,OT
BGD,LLCO,UNCL,TWFL,NE,NE,NE,NE,NE
EGY,LLCO,UNCL,TWFL,NW,NW,NW,NW,NW
EUESP,PS,FS,ALGI,NE,SE,SW,NW,OT
EUESP,PS,LS,ALGI,NE,SE,SW,NW,OT
EUFRA,PS,FS,ALGI,NE,SE,SW,NW,OT
EUFRA,PS,LS,ALGI,NE,SE,SW,NW,OT
EUMYT,LLCO,UNCL,TWFL,NW,NW,NW,NW,NW
IDN,PS,LS,ALGI,NE,SE,SW,NW,OT
JOR,LLCO,UNCL,TWFL,NW,NW,NW,NW,NW
MOZ,PSS,UNCL,ALGI,NE,SE,SW,NW,OT
MUS,LLCO,UNCL,TWFL,SW,SW,SW,SW,SW
SYC,FLL,UNCL,TWFL,NE,SE,SW,NW,OT
SYC,LLCO,UNCL,TWFL,NE,SE,SW,NW,OT
