FLEET,GEAR_CODE,SCHOOL_TYPE_CODE,FISHERY,R1a,R1b,R2,R3,R4,R0
MDV,BB,FD,BB,,R1b,,,,
MDV,BB,FS,BB,,R1b,,,R1b,
MDV,BB,LA,BB,,R1b,,,,
MDV,BB,LS,BB,,R1b,,,,
AUS,BB,UNCL,BB,,,,R1b,,
EUESP,BB,UNCL,BB,,R1b,R1b,,,
IDN,BB,UNCL,BB,,,,,R1b,
IND,BB,UNCL,BB,R1b,R1b,,,R1b,
LKA,BB,UNCL,BB,,,,,R1b,
MDG,BB,UNCL,BB,,,R1b,,,
MDV,BB,UNCL,BB,,R1b,,,R1b,
TZA,BB,UNCL,BB,,R1b,,,,R0
MDV,BBM,UNCL,BB,,R1b,,,,
MDV,BBN,UNCL,BB,,R1b,,,,
MDV,BBOF,FD,BB,,R1b,,,,
MDV,BBOF,FS,BB,,R1b,,,R1b,
MDV,BBOF,LA,BB,,R1b,,,,
MDV,BBOF,UNCL,BB,,R1b,,,R1b,R0
IDN,BS,UNCL,OT,,,,,R4,
IND,BS,UNCL,OT,R1a,R1a,,,R4,R0
LKA,BS,UNCL,OT,,,,,R4,R0
OMN,BS,UNCL,OT,R1a,,,,,
OMN,CN,UNCL,OT,R1a,,,,,R0
IDN,DSEI,UNCL,OT,,,,,R4,R0
AUS,ELL,UNCL,LL,,,,R3,R4,R0
EUESP,ELL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
EUMYT,ELL,UNCL,LL,,,R2,R3,,
EUPRT,ELL,UNCL,LL,,R1b,R2,R3,,
EUREU,ELL,UNCL,LL,,R1b,R2,R3,,
GBR,ELL,UNCL,LL,,,R2,R3,,
GIN,ELL,UNCL,LL,,,R2,R3,R4,R0
KEN,ELL,UNCL,LL,R1a,R1b,R2,R3,R4,R0
MDG,ELL,UNCL,LL,,,R2,,,R0
MOZ,ELL,UNCL,LL,,,R2,R3,,
MUS,ELL,UNCL,LL,,R1b,R2,R3,,
NEIFR,ELL,UNCL,LL,,R1b,R2,R3,R4,R0
SEN,ELL,UNCL,LL,,R1b,R2,R3,,
SYC,ELL,UNCL,LL,,R1b,R2,,,
ZAF,ELL,UNCL,LL,,,R2,R3,,
EUFRA,ELLOB,UNCL,LL,,,R2,,,
EUMYT,ELLOB,UNCL,LL,,R1b,R2,,,
EUREU,ELLOB,UNCL,LL,,,R2,R3,,
BLZ,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
CHN,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
IDN,FLL,UNCL,LF,,,,R4,R4,R0
IND,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
LKA,FLL,UNCL,LF,R4,R4,,R4,R4,R0
MDV,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
MOZ,FLL,UNCL,LL,,,R2,,,
MUS,FLL,UNCL,LF,,,R4,,,R0
MYS,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
NEICE,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
NEIDN,FLL,UNCL,LF,,,,R4,R4,R0
OMN,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
SYC,FLL,UNCL,LF,,R4,,R4,,
THA,FLL,UNCL,LF,,,,R4,R4,R0
TWN,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
TZA,FLL,UNCL,LF,R4,R4,R4,R4,R4,R0
VUT,FLL,UNCL,LF,,,,R4,R4,
MDV,FN,UNCL,OT,,R1a,,,,
OMN,GIHA,UNCL,GI,R1a,,,,,
AUS,GILL,UNCL,GI,,,,R4,,R0
BGD,GILL,UNCL,GI,,,,,R4,
BHR,GILL,UNCL,GI,R1a,,,,,
COM,GILL,UNCL,GI,,,R1a,,,
DJI,GILL,UNCL,GI,R1a,,,,,
EGY,GILL,UNCL,GI,R1a,,,,,
IDN,GILL,UNCL,GI,,,,,R4,
IND,GILL,UNCL,GI,R1a,,,,R4,
IRN,GILL,UNCL,GI,R1a,,,,,
JOR,GILL,UNCL,GI,R1a,,,,,
JPN,GILL,UNCL,OT,,,,R4,R4,R0
KEN,GILL,UNCL,GI,,R1a,,,,
LKA,GILL,UNCL,GI,,,,,R4,
OMN,GILL,UNCL,GI,R1a,,,,,
PAK,GILL,UNCL,GI,R1a,,,,,
QAT,GILL,UNCL,GI,R1a,,,,,
SUN,GILL,UNCL,OT,R1a,,,,,R0
TMP,GILL,UNCL,GI,,,,,R4,
TWN,GILL,UNCL,GI,R1a,R1a,R1a,R4,R4,R0
TZA,GILL,UNCL,GI,,R1a,,,,
YEM,GILL,UNCL,GI,R1a,,,,,
ZAF,GILL,UNCL,GI,,,R1a,,,
IDN,GIOF,UNCL,GI,,,,,R4,
IND,GIOF,UNCL,GI,R1a,R1a,,,R4,
IRN,GIOF,UNCL,GI,R1a,R1a,,,,
LKA,GIOF,UNCL,GI,R1a,R1a,,R4,R4,
OMN,GIOF,UNCL,GI,R1a,,,,,
LKA,GL,UNCL,GI,,,,,R4,
MDV,HAND,FD,HD,,R1a,,,R1a,
MDV,HAND,FS,HD,,R1a,,,R1a,
MDV,HAND,LA,HD,,R1a,,,,
MDV,HAND,LS,HD,,R1a,,,,
AUS,HAND,UNCL,HD,,,,R1a,,R0
BGD,HAND,UNCL,HD,,,,,R1a,
COM,HAND,UNCL,HD,,R1a,R1a,,,
EGY,HAND,UNCL,HD,R1a,,,,,
EUFRA,HAND,UNCL,HD,,R1a,R1a,,,
EUMYT,HAND,UNCL,HD,,R1b,R1a,,,
EUREU,HAND,UNCL,HD,,R1a,R1a,,,
GBR,HAND,UNCL,HD,,R1a,,,,
GBRT,HAND,UNCL,HD,,R1a,,,,R0
IDN,HAND,UNCL,HD,,,,R1a,R1a,
IND,HAND,UNCL,HD,R1a,,,,R1a,R0
JOR,HAND,UNCL,HD,R1a,,,,,
KEN,HAND,UNCL,HD,,R1a,,,,
LKA,HAND,UNCL,HD,,,,,R1a,
MDV,HAND,UNCL,HD,,R1a,,,R1a,
